,PID,USUARIO,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,HORA+,ORDEN,
15627,root,20,0,0,0,0,S,"15,9",0,0:26.66,kworker/u8:1,,
16385,root,20,0,0,0,0,S,12,0,0:11.10,kworker/u8:4,,
,4237,sergio,20,0,3901972,"1,250g",186320,S,"6,3",4,44:59.89,Web,Content
,3779,sergio,20,0,2785260,470184,159304,S,"4,7","1,4",67:29.45,firefox,
,1259,root,20,0,618820,136184,74716,S,3,"0,4",37:47.56,Xorg,
,2330,sergio,20,0,1838604,272380,72376,S,2,"0,8",120:07.03,cinnamon,
,2254,sergio,9,-11,511760,13064,9820,S,"0,7",0,34:05.02,pulseaudio,
,3898,sergio,20,0,3239568,"1,034g",117144,S,"0,7","3,3",134:03.07,Web,Content
,1,root,20,0,119888,5956,3892,S,0,0,0:02.43,systemd,
,2,root,20,0,0,0,0,S,0,0,0:00.04,kthreadd,
,4,root,0,-20,0,0,0,S,0,0,0:00.00,kworker/0:0H,
,6,root,20,0,0,0,0,S,0,0,0:00.58,ksoftirqd/0,
,7,root,20,0,0,0,0,S,0,0,36:31.84,rcu_sched,
,8,root,20,0,0,0,0,S,0,0,0:00.00,rcu_bh,
,9,root,rt,0,0,0,0,S,0,0,0:00.37,migration/0,
,10,root,0,-20,0,0,0,S,0,0,0:00.00,lru-add-drain,
,11,root,rt,0,0,0,0,S,0,0,0:01.14,watchdog/0,
,12,root,20,0,0,0,0,S,0,0,0:00.00,cpuhp/0,
,13,root,20,0,0,0,0,S,0,0,0:00.00,cpuhp/1,
,14,root,rt,0,0,0,0,S,0,0,0:01.20,watchdog/1,
,15,root,rt,0,0,0,0,S,0,0,0:00.36,migration/1,
,16,root,20,0,0,0,0,S,0,0,0:00.47,ksoftirqd/1,
,18,root,0,-20,0,0,0,S,0,0,0:00.00,kworker/1:0H,
,19,root,20,0,0,0,0,S,0,0,0:00.00,cpuhp/2,
,20,root,rt,0,0,0,0,S,0,0,0:01.15,watchdog/2,
,21,root,rt,0,0,0,0,S,0,0,0:00.36,migration/2,
,22,root,20,0,0,0,0,S,0,0,0:00.41,ksoftirqd/2,
,24,root,0,-20,0,0,0,S,0,0,0:00.00,kworker/2:0H,
,25,root,20,0,0,0,0,S,0,0,0:00.00,cpuhp/3,
,26,root,rt,0,0,0,0,S,0,0,0:02.64,watchdog/3,
,27,root,rt,0,0,0,0,S,0,0,0:00.01,migration/3,
,28,root,20,0,0,0,0,S,0,0,1:02.85,ksoftirqd/3,
